X,Y,Z,azimuth,dip,polarity,formation,formation_id
-704840,4530654,344,283,60,1,Upper Carboniferous Volcanics,51
-697098,4543927,271,284,55,1,Upper Devonian Siliciclastics,40
-681850,4530352,161,286,47,1,Upper Devonian Siliciclastics,40
-681855,4530372,286,318,30,1,Upper Devonian Siliciclastics,40
-698630,4538978,367,0,0,1,Tournaisian Plutonites,1
-705656,4548904,357,134,38,1,Mid Carboniferous Shales,76
-704875,4547579,421,230,80,1,Tournaisian Plutonites,239
-704083,4546109,456,278,80,1,Tournaisian Plutonites,243
-703527,4545376,399,155,80,1,Tournaisian Plutonites,250
-702201,4545068,373,190,80,1,Tournaisian Plutonites,253
-702590,4543987,355,240,80,1,Tournaisian Plutonites,256
-701976,4542406,371,174,80,1,Tournaisian Plutonites,260
-699648,4544262,271,5,80,1,Tournaisian Plutonites,118
-695279,4543351,215,165,80,1,Tournaisian Plutonites,472
-692429,4541732,219,230,80,1,Tournaisian Plutonites,280
-688958,4540604,287,180,80,1,Tournaisian Plutonites,288
-687674,4537940,317,332,80,1,Tournaisian Plutonites,304
-693327,4538250,320,340,80,1,Tournaisian Plutonites,140
-695596,4536354,311,235,80,1,Tournaisian Plutonites,147
-692417,4534570,344,235,80,1,Tournaisian Plutonites,156
-689300,4530782,329,212,80,1,Tournaisian Plutonites,42
-685612,4529745,350,193,80,1,Tournaisian Plutonites,34
